company,contributors_count,contributors_percentage_total,affiliation_category
Independent/Unknown,129,66.49,Independent/Unknown
Meta,14,7.22,Company/Organization
Vercel,3,1.55,Company/Organization
Datadog,2,1.03,Company/Organization
Instacart,1,0.52,Company/Organization
Open For Work,1,0.52,Company/Organization
Hubspot,1,0.52,Company/Organization
Google,1,0.52,Company/Organization
Ncdc Co Ltd Ncdcdev,1,0.52,Company/Organization
Guzman Y Gomez,1,0.52,Company/Organization
家里蹲有限公司,1,0.52,Company/Organization
Codersh Web Service,1,0.52,Company/Organization
Synthesia Io,1,0.52,Company/Organization
Software Mansion,1,0.52,Company/Organization
Asana,1,0.52,Company/Organization
Next Js Team Vercel,1,0.52,Company/Organization
Sanity-Io,1,0.52,Company/Organization
John Deere,1,0.52,Company/Organization
Carbometrix,1,0.52,Company/Organization
Synvexai,1,0.52,Company/Organization
센디 Sendy,1,0.52,Company/Organization
The Aimegroup,1,0.52,Company/Organization
Woowacourse,1,0.52,Company/Organization
Elitmus Evaluation Pvt Ltd,1,0.52,Company/Organization
Farmitix Inc,1,0.52,Company/Organization
Ut Austin,1,0.52,Company/Organization
Standard Carbon,1,0.52,Company/Organization
Oven-Sh Bun,1,0.52,Company/Organization
Upleveled,1,0.52,Company/Organization
Better-Auth,1,0.52,Company/Organization
Prominentpixel,1,0.52,Company/Organization
Huinno,1,0.52,Company/Organization
Na,1,0.52,Company/Organization
Voidzero-Dev,1,0.52,Company/Organization
Yahoo,1,0.52,Company/Organization
Lichtblick,1,0.52,Company/Organization
Ossdaiict,1,0.52,Company/Organization
Non Profit Organization,1,0.52,Company/Organization
Deckers Brands,1,0.52,Company/Organization
Genesisnest,1,0.52,Company/Organization
Software-Mansion,1,0.52,Company/Organization
Apollographql,1,0.52,Company/Organization
Https Www Aichmv Com,1,0.52,Company/Organization
Shakacode And Popmenu,1,0.52,Company/Organization
Adobe,1,0.52,Company/Organization
Asosteam,1,0.52,Company/Organization
Hacktiv8,1,0.52,Company/Organization
Mindcontrolai,1,0.52,Company/Organization
Hot N Cold,1,0.52,Company/Organization
G2,1,0.52,Company/Organization
